//Song info
INFO:Title|Untitled
INFO:BPM|125
INFO:LPB|8
//Track ID table
TRACK:0|stablead
TRACK:1|choirs
TRACK:2|lead1
TRACK:3|lead2
TRACK:4|bass
TRACK:5|bassgroup
TRACK:6|kicks
TRACK:7|primary drums
TRACK:8|Track 09
TRACK:9|Track 10
TRACK:10|hihats
TRACK:11|percussion
TRACK:12|hard snares
TRACK:13|rave stab
TRACK:14|vox
TRACK:15|Mst
TRACK:16|dekay
TRACK:17|spread
TRACK:18|edge
//Instrument ID table
INSTR:0|VST: SQ8L (AMBASS)
INSTR:1|VST: SQ8L (SATURN)
INSTR:2|04 Milk Bottle Plant, Bottle Cleanin
INSTR:3|Unnamed
INSTR:4|11-08 Rivers And Streams, Lock Gates
INSTR:5|Unnamed
INSTR:6|[S] VST: Voyager (---)
INSTR:7|kick_011
INSTR:8|kick_008
INSTR:9|TranceBD015
INSTR:10|VST: Absynth 5 Stereo (Horror Synth)
INSTR:11|VST: Absynth 5 Stereo (Windswept)
INSTR:12|VST: Philharmonik (Default)
INSTR:13|clap_005
INSTR:14|Rage_SD06-raw
INSTR:15|Rage_HH03c
INSTR:16|Rage_HH06o-tap
INSTR:17|Zenhiser DL-OHSSH01 006
INSTR:18|Unnamed
INSTR:19|TranceBD006
INSTR:20|TranceBD057
INSTR:21|Unnamed
INSTR:22|Unnamed
INSTR:23|when you had sight
INSTR:24|New Sample 01
INSTR:25|yuggoth1
INSTR:26|New Sample 04
INSTR:27|New Sample 03
INSTR:28|Unnamed
INSTR:29|Unnamed
INSTR:30|Unnamed
INSTR:31|D'n'B Crash 06
INSTR:32|Unnamed
INSTR:33|Unnamed
INSTR:34|Unnamed
//Playback data: track number|instrument number|seconds|MIDI note value (google it)|volume value,...
NOTE:9|19|85.44|50|255
NOTE:0|1|85.56|67|255
NOTE:4|0|85.56|56|255
NOTE:6|9|85.56|48|255
NOTE:6|6|85.56|48|255
NOTE:9|19|85.56|50|255
NOTE:12|14|85.56|48|255
NOTE:9|19|85.68|50|255
NOTE:4|0|85.8|56|255
NOTE:9|19|85.8|50|255
NOTE:6|9|85.92|48|255
NOTE:9|19|85.92|50|255
NOTE:12|14|85.92|48|255
NOTE:4|0|86.04|56|255
NOTE:8|8|86.04|47|255
NOTE:9|19|86.04|50|255
NOTE:9|19|86.1|50|255
NOTE:9|19|86.16|50|255
NOTE:4|0|86.28|56|255
NOTE:9|19|86.28|50|255
NOTE:9|19|86.4|50|255
NOTE:4|0|86.52|56|255
NOTE:6|9|86.52|48|255
NOTE:6|6|86.52|48|255
NOTE:8|14|86.52|36|255
NOTE:9|19|86.52|50|255
NOTE:9|19|86.64|50|255
NOTE:4|0|86.76|56|255
NOTE:9|19|86.76|50|255
NOTE:9|19|86.88|50|255
NOTE:4|0|87|56|255
NOTE:8|8|87|47|255
NOTE:9|19|87|50|255
NOTE:9|19|87.12|50|255
NOTE:4|0|87.24|56|255
NOTE:9|19|87.24|50|255
NOTE:0|1|87.48|62|255
NOTE:4|0|87.48|55|255
NOTE:6|9|87.48|48|255
NOTE:9|19|87.48|50|255
NOTE:12|14|87.48|48|255
NOTE:9|19|87.6|50|255
NOTE:4|0|87.72|55|255
NOTE:9|19|87.72|50|255
NOTE:6|9|87.84|48|255
NOTE:9|19|87.84|50|255
NOTE:12|14|87.84|48|255
NOTE:4|0|87.96|55|255
NOTE:8|8|87.96|46|255
NOTE:9|19|87.96|50|255
NOTE:9|19|88.02|50|255
NOTE:9|19|88.08|50|255
NOTE:4|0|88.2|55|255
NOTE:9|19|88.2|50|255
NOTE:4|0|88.44|55|255
NOTE:6|4|88.44|50|255
NOTE:6|9|88.44|48|255
NOTE:9|19|88.44|50|255
NOTE:9|19|88.56|50|255
NOTE:4|0|88.68|55|255
NOTE:9|19|88.68|50|255
NOTE:9|19|88.8|50|255
NOTE:4|0|88.92|55|255
NOTE:8|8|88.92|46|255
NOTE:9|19|88.92|50|255
NOTE:9|19|89.04|50|255
NOTE:4|0|89.16|55|255
NOTE:9|19|89.16|50|255
NOTE:0|1|89.4|67|255
NOTE:4|0|89.4|55|255
NOTE:6|9|89.4|48|255
NOTE:6|6|89.4|48|255
NOTE:9|19|89.4|50|255
NOTE:12|14|89.4|48|255
NOTE:9|19|89.52|50|255
NOTE:4|0|89.64|55|255
NOTE:9|19|89.64|50|255
NOTE:6|9|89.76|48|255
NOTE:9|19|89.76|50|255
NOTE:12|14|89.76|48|255
NOTE:4|0|89.88|55|255
NOTE:8|8|89.88|46|255
NOTE:9|19|89.88|50|255
NOTE:9|19|89.94|50|255
NOTE:9|19|90|50|255
NOTE:4|0|90.12|55|255
NOTE:9|19|90.12|50|255
NOTE:9|19|90.24|50|255
NOTE:4|0|90.36|55|255
NOTE:6|9|90.36|48|255
NOTE:6|6|90.36|48|255
NOTE:8|14|90.36|36|255
NOTE:9|19|90.36|50|255
NOTE:4|0|90.6|55|255
NOTE:9|19|90.6|50|255
NOTE:9|19|90.72|50|255
NOTE:4|0|90.84|55|255
NOTE:6|9|90.84|48|255
NOTE:8|8|90.84|46|255
NOTE:8|14|90.84|36|255
NOTE:9|19|90.84|50|255
NOTE:4|0|91.08|55|255
NOTE:9|19|91.08|50|255
NOTE:9|19|91.2|50|255
NOTE:0|1|91.32|62|255
NOTE:4|0|91.32|58|255
NOTE:6|9|91.32|48|255
NOTE:9|19|91.32|50|255
NOTE:12|14|91.32|48|255
NOTE:9|19|91.44|50|255
NOTE:4|0|91.56|58|255
NOTE:8|13|91.56|39|255
NOTE:9|19|91.56|50|255
NOTE:6|9|91.68|48|255
NOTE:9|19|91.68|50|255
NOTE:12|14|91.68|48|255
NOTE:4|0|91.8|58|255
NOTE:8|8|91.8|49|255
NOTE:9|19|91.8|50|255
NOTE:9|19|91.86|50|255
NOTE:9|19|91.92|50|255
NOTE:4|0|92.04|58|255
NOTE:9|19|92.04|50|255
NOTE:4|0|92.28|58|255
NOTE:6|4|92.28|50|255
NOTE:6|9|92.28|48|255
NOTE:9|19|92.28|50|255
NOTE:9|19|92.4|50|255
NOTE:4|0|92.52|58|255
NOTE:9|19|92.52|50|255
NOTE:4|0|92.76|58|255
NOTE:6|9|92.76|48|255
NOTE:8|8|92.76|49|255
NOTE:9|19|92.76|50|255
NOTE:9|19|92.88|47|255
NOTE:14|24|92.94|48|255
NOTE:4|0|93|58|255
NOTE:9|19|93|50|255
NOTE:9|19|93.12|50|255
NOTE:0|1|93.24|67|255
NOTE:4|0|93.24|60|255
NOTE:6|9|93.24|48|255
NOTE:6|6|93.24|48|255
NOTE:9|19|93.24|50|255
NOTE:12|14|93.24|48|255
NOTE:9|19|93.36|50|255
NOTE:4|0|93.48|60|255
NOTE:9|19|93.48|50|255
NOTE:6|9|93.6|48|255
NOTE:9|19|93.6|50|255
NOTE:12|14|93.6|48|255
NOTE:4|0|93.72|60|255
NOTE:8|8|93.72|51|255
NOTE:9|19|93.72|50|255
NOTE:9|19|93.78|50|255
NOTE:9|19|93.84|50|255
NOTE:4|0|93.96|60|255
NOTE:9|19|93.96|50|255
NOTE:9|19|94.08|50|255
NOTE:4|0|94.2|60|255
NOTE:6|9|94.2|48|255
NOTE:6|6|94.2|48|255
NOTE:8|14|94.2|36|255
NOTE:9|19|94.2|50|255
NOTE:4|0|94.44|60|255
NOTE:6|9|94.56|48|255
NOTE:6|6|94.56|48|255
NOTE:9|19|94.56|50|255
NOTE:4|0|94.68|60|255
NOTE:8|8|94.68|51|255
NOTE:9|19|94.68|50|255
NOTE:9|19|94.8|50|255
NOTE:9|19|94.86|50|255
NOTE:4|0|94.92|60|255
NOTE:6|9|94.92|48|255
NOTE:9|19|94.92|50|255
NOTE:9|19|95.04|50|255
NOTE:0|1|95.16|62|255
NOTE:2|10|95.16|62|255
NOTE:4|0|95.16|55|255
NOTE:6|9|95.16|48|255
NOTE:9|19|95.16|50|255
NOTE:10|15|95.16|48|255
NOTE:12|14|95.16|48|255
NOTE:8|20|95.28|50|255
NOTE:9|19|95.28|50|255
NOTE:10|15|95.28|48|255
NOTE:8|13|95.4|39|255
NOTE:9|19|95.4|50|255
NOTE:10|15|95.4|48|255
NOTE:6|9|95.52|48|255
NOTE:9|19|95.52|50|255
NOTE:10|15|95.52|48|255
NOTE:12|14|95.52|48|255
NOTE:4|0|95.64|55|255
NOTE:8|8|95.64|46|255
NOTE:9|19|95.64|50|255
NOTE:10|16|95.64|48|255
NOTE:9|19|95.7|50|255
NOTE:9|19|95.76|50|255
NOTE:10|15|95.76|48|255
NOTE:4|0|95.88|55|255
NOTE:9|19|95.88|50|255
NOTE:10|15|95.88|48|255
NOTE:9|19|96|50|255
NOTE:4|0|96.12|55|255
NOTE:6|4|96.12|50|255
NOTE:6|9|96.12|48|255
NOTE:8|9|96.12|50|255
NOTE:9|19|96.12|50|255
NOTE:9|19|96.24|50|255
NOTE:4|0|96.36|55|255
NOTE:9|19|96.36|50|255
NOTE:9|19|96.48|50|255
NOTE:4|0|96.6|55|255
NOTE:8|8|96.6|46|255
NOTE:9|19|96.6|50|255
NOTE:9|19|96.72|50|255
NOTE:4|0|96.84|55|255
NOTE:9|19|96.84|50|255
NOTE:10|13|96.84|41|255
NOTE:9|19|96.96|50|255
NOTE:0|1|97.08|67|255
NOTE:4|0|97.08|55|255
NOTE:6|9|97.08|48|255
NOTE:6|6|97.08|48|255
NOTE:9|19|97.08|50|255
NOTE:10|15|97.08|48|255
NOTE:12|14|97.08|48|255
NOTE:9|19|97.2|50|255
NOTE:10|15|97.2|48|255
NOTE:4|0|97.32|55|255
NOTE:9|19|97.32|50|255
NOTE:10|15|97.32|48|255
NOTE:6|9|97.44|48|255
NOTE:9|19|97.44|50|255
NOTE:10|15|97.44|48|255
NOTE:12|14|97.44|48|255
NOTE:4|0|97.56|55|255
NOTE:8|8|97.56|46|255
NOTE:9|19|97.56|50|255
NOTE:10|16|97.56|48|255
NOTE:9|19|97.62|50|255
NOTE:9|19|97.68|50|255
NOTE:10|15|97.68|48|255
NOTE:4|0|97.8|55|255
NOTE:9|19|97.8|50|255
NOTE:10|15|97.8|48|255
NOTE:9|19|97.92|50|255
NOTE:4|0|98.04|55|255
NOTE:6|9|98.04|48|255
NOTE:6|6|98.04|48|255
NOTE:8|9|98.04|50|255
NOTE:8|14|98.04|36|255
NOTE:9|19|98.04|50|255
NOTE:9|19|98.16|50|255
NOTE:4|0|98.28|55|255
NOTE:9|19|98.28|50|255
NOTE:9|19|98.4|50|255
NOTE:4|0|98.52|55|255
NOTE:8|8|98.52|46|255
NOTE:9|19|98.52|50|255
NOTE:9|19|98.64|50|255
NOTE:4|0|98.76|55|255
NOTE:9|19|98.76|50|255
NOTE:9|19|98.88|50|255
NOTE:0|1|99|62|255
NOTE:2|10|99|65|255
NOTE:4|0|99|56|255
NOTE:6|9|99|48|255
NOTE:9|19|99|50|255
NOTE:10|15|99|48|255
NOTE:12|14|99|48|255
NOTE:9|19|99.12|50|255
NOTE:10|15|99.12|48|255
NOTE:4|0|99.24|56|255
NOTE:9|19|99.24|50|255
NOTE:10|15|99.24|48|255
NOTE:6|9|99.36|48|255
NOTE:9|19|99.36|50|255
NOTE:10|15|99.36|48|255
NOTE:12|14|99.36|48|255
NOTE:4|0|99.48|56|255
NOTE:8|8|99.48|47|255
NOTE:9|19|99.48|50|255
NOTE:10|16|99.48|48|255
NOTE:9|19|99.54|50|255
NOTE:9|19|99.6|50|255
NOTE:10|15|99.6|48|255
NOTE:4|0|99.72|56|255
NOTE:9|19|99.72|50|255
NOTE:10|15|99.72|48|255
NOTE:9|19|99.84|50|255
NOTE:4|0|99.96|56|255
NOTE:6|4|99.96|50|255
NOTE:6|9|99.96|48|255
NOTE:8|13|99.96|39|255
NOTE:9|19|99.96|50|255
NOTE:9|19|100.08|50|255
NOTE:4|0|100.2|56|255
NOTE:9|19|100.2|50|255
NOTE:9|19|100.32|50|255
NOTE:4|0|100.44|56|255
NOTE:8|8|100.44|47|255
NOTE:9|19|100.44|50|255
NOTE:9|19|100.56|50|255
NOTE:4|0|100.68|56|255
NOTE:9|19|100.68|50|255
NOTE:10|13|100.68|41|255
NOTE:9|19|100.8|50|255
NOTE:0|1|100.92|67|255
NOTE:2|10|100.92|63|255
NOTE:4|0|100.92|56|255
NOTE:6|9|100.92|48|255
NOTE:6|6|100.92|48|255
NOTE:9|19|100.92|50|255
NOTE:10|15|100.92|48|255
NOTE:12|14|100.92|48|255
NOTE:9|19|101.04|50|255
NOTE:10|15|101.04|48|255
NOTE:4|0|101.16|56|255
NOTE:9|19|101.16|50|255
NOTE:10|15|101.16|48|255
NOTE:6|9|101.28|48|255
NOTE:9|19|101.28|50|255
NOTE:10|15|101.28|48|255
NOTE:12|14|101.28|48|255
NOTE:4|0|101.4|56|255
NOTE:8|8|101.4|47|255
NOTE:9|19|101.4|50|255
NOTE:10|16|101.4|48|255
NOTE:9|19|101.46|50|255
NOTE:9|19|101.52|50|255
NOTE:10|15|101.52|48|255
NOTE:4|0|101.64|56|255
NOTE:9|19|101.64|50|255
NOTE:10|15|101.64|48|255
NOTE:9|19|101.76|50|255
NOTE:4|0|101.88|56|255
NOTE:6|9|101.88|48|255
NOTE:6|6|101.88|48|255
NOTE:8|14|101.88|36|255
NOTE:9|19|101.88|50|255
NOTE:9|19|102|50|255
NOTE:4|0|102.12|56|255
NOTE:9|19|102.12|50|255
NOTE:9|19|102.24|50|255
NOTE:4|0|102.36|56|255
NOTE:8|8|102.36|47|255
NOTE:9|19|102.36|50|255
NOTE:9|19|102.48|50|255
NOTE:4|0|102.6|56|255
NOTE:9|19|102.6|50|255
NOTE:9|19|102.72|50|255
NOTE:0|1|102.84|62|255
NOTE:2|10|102.84|62|255
NOTE:4|0|102.84|55|255
NOTE:6|9|102.84|48|255
NOTE:9|19|102.84|50|255
NOTE:10|15|102.84|48|255
NOTE:12|14|102.84|48|255
NOTE:9|19|102.96|50|255
NOTE:10|15|102.96|48|255
NOTE:4|0|103.08|55|255
NOTE:9|19|103.08|50|255
NOTE:10|15|103.08|48|255
NOTE:6|9|103.2|48|255
NOTE:9|19|103.2|50|255
NOTE:10|15|103.2|48|255
NOTE:12|14|103.2|48|255
NOTE:4|0|103.32|55|255
NOTE:8|8|103.32|46|255
NOTE:9|19|103.32|50|255
NOTE:10|16|103.32|48|255
NOTE:9|19|103.38|50|255
NOTE:9|19|103.44|50|255
NOTE:10|15|103.44|48|255
NOTE:4|0|103.56|55|255
NOTE:9|19|103.56|50|255
NOTE:10|15|103.56|48|255
NOTE:9|19|103.68|50|255
NOTE:4|0|103.8|55|255
NOTE:6|4|103.8|50|255
NOTE:6|9|103.8|48|255
NOTE:9|19|103.8|50|255
NOTE:9|19|103.92|50|255
NOTE:4|0|104.04|55|255
NOTE:9|19|104.04|50|255
NOTE:9|19|104.16|50|255
NOTE:4|0|104.28|55|255
NOTE:8|8|104.28|46|255
NOTE:9|19|104.28|50|255
NOTE:9|19|104.4|50|255
NOTE:4|0|104.52|55|255
NOTE:9|19|104.52|50|255
NOTE:10|13|104.52|41|255
NOTE:9|19|104.64|50|255
NOTE:0|1|104.76|67|255
NOTE:4|0|104.76|55|255
NOTE:6|9|104.76|48|255
NOTE:6|6|104.76|48|255
NOTE:9|19|104.76|50|255
NOTE:10|15|104.76|48|255
NOTE:12|14|104.76|48|255
NOTE:9|19|104.88|50|255
NOTE:10|15|104.88|48|255
NOTE:4|0|105|55|255
NOTE:9|19|105|50|255
NOTE:10|15|105|48|255
NOTE:6|9|105.12|48|255
NOTE:9|19|105.12|50|255
NOTE:10|15|105.12|48|255
NOTE:12|14|105.12|48|255
NOTE:4|0|105.24|55|255
NOTE:8|8|105.24|46|255
NOTE:9|19|105.24|50|255
NOTE:10|16|105.24|48|255
NOTE:9|19|105.3|50|255
NOTE:9|19|105.36|50|255
NOTE:10|15|105.36|48|255
NOTE:4|0|105.48|55|255
NOTE:9|19|105.48|50|255
NOTE:10|15|105.48|48|255
NOTE:9|19|105.6|50|255
NOTE:4|0|105.72|55|255
NOTE:6|9|105.72|48|255
NOTE:6|6|105.72|48|255
NOTE:8|14|105.72|36|255
NOTE:9|19|105.72|50|255
NOTE:9|19|105.84|50|255
NOTE:4|0|105.96|55|255
NOTE:9|19|105.96|50|255
NOTE:9|19|106.08|50|255
NOTE:4|0|106.2|55|255
NOTE:6|9|106.2|48|255
NOTE:8|8|106.2|46|255
NOTE:8|14|106.2|36|255
NOTE:9|19|106.2|50|255
NOTE:9|19|106.32|50|255
NOTE:4|0|106.44|55|255
NOTE:9|19|106.44|50|255
NOTE:9|19|106.56|50|255
NOTE:0|1|106.68|62|255
NOTE:2|10|106.68|65|255
NOTE:4|0|106.68|58|255
NOTE:6|9|106.68|48|255
NOTE:9|19|106.68|50|255
NOTE:10|15|106.68|48|255
NOTE:12|14|106.68|48|255
NOTE:9|19|106.8|50|255
NOTE:10|15|106.8|48|255
NOTE:4|0|106.92|58|255
NOTE:8|13|106.92|39|255
NOTE:9|19|106.92|50|255
NOTE:10|15|106.92|48|255
NOTE:6|9|107.04|48|255
NOTE:9|19|107.04|50|255
NOTE:10|15|107.04|48|255
NOTE:12|14|107.04|48|255
NOTE:4|0|107.16|58|255
NOTE:8|8|107.16|49|255
NOTE:9|19|107.16|50|255
NOTE:10|16|107.16|48|255
NOTE:9|19|107.22|50|255
NOTE:3|11|107.28|79|255
NOTE:9|19|107.28|50|255
NOTE:10|15|107.28|48|255
NOTE:4|0|107.4|58|255
NOTE:9|19|107.4|50|255
NOTE:10|15|107.4|48|255
NOTE:9|19|107.52|50|255
NOTE:4|0|107.64|58|255
NOTE:6|4|107.64|50|255
NOTE:6|9|107.64|48|255
NOTE:9|19|107.64|50|255
NOTE:9|19|107.76|50|255
NOTE:4|0|107.88|58|255
NOTE:9|19|107.88|50|255
NOTE:9|19|108|50|255
NOTE:4|0|108.12|58|255
NOTE:6|9|108.12|48|255
NOTE:8|8|108.12|49|255
NOTE:9|19|108.12|50|255
NOTE:9|19|108.24|47|255
NOTE:4|0|108.36|58|255
NOTE:9|19|108.36|50|255
NOTE:10|13|108.36|41|255
NOTE:9|19|108.48|50|255
NOTE:0|1|108.6|67|255
NOTE:2|10|108.6|63|255
NOTE:4|0|108.6|60|255
NOTE:6|9|108.6|48|255
NOTE:6|6|108.6|48|255
NOTE:9|19|108.6|50|255
NOTE:10|15|108.6|48|255
NOTE:12|14|108.6|48|255
NOTE:9|19|108.72|50|255
NOTE:10|15|108.72|48|255
NOTE:4|0|108.84|60|255
NOTE:9|19|108.84|50|255
NOTE:10|15|108.84|48|255
NOTE:6|9|108.96|48|255
NOTE:9|19|108.96|50|255
NOTE:10|15|108.96|48|255
NOTE:12|14|108.96|48|255
NOTE:4|0|109.08|60|255
NOTE:8|8|109.08|51|255
NOTE:9|19|109.08|50|255
NOTE:10|16|109.08|48|255
NOTE:9|19|109.14|50|255
NOTE:3|11|109.2|74|255
NOTE:9|19|109.2|50|255
NOTE:10|15|109.2|48|255
NOTE:4|0|109.32|60|255
NOTE:9|19|109.32|50|255
NOTE:10|15|109.32|48|255
NOTE:9|19|109.44|50|255
NOTE:4|0|109.56|60|255
NOTE:6|9|109.56|48|255
NOTE:6|6|109.56|48|255
NOTE:8|14|109.56|36|255
NOTE:9|19|109.56|50|255
NOTE:9|19|109.68|50|255
NOTE:4|0|109.8|60|255
NOTE:9|19|109.8|50|255
NOTE:6|9|109.92|48|255
NOTE:9|19|109.92|50|255
NOTE:4|0|110.04|60|255
NOTE:8|8|110.04|51|255
NOTE:9|19|110.04|50|255
NOTE:9|19|110.16|50|255
NOTE:9|19|110.22|50|255
NOTE:4|0|110.28|60|255
NOTE:6|9|110.28|48|255
NOTE:9|19|110.28|50|255
NOTE:9|19|110.4|50|255
NOTE:0|1|110.52|62|255
NOTE:1|12|110.52|62|255
NOTE:1|12|110.52|63|255
NOTE:1|2|110.52|60|255
NOTE:2|10|110.52|62|255
NOTE:4|0|110.52|55|255
NOTE:6|9|110.52|48|255
NOTE:9|19|110.52|50|255
NOTE:10|15|110.52|48|255
NOTE:12|14|110.52|48|255
NOTE:8|20|110.64|50|255
NOTE:10|16|110.64|48|255
NOTE:6|9|110.76|48|255
NOTE:9|19|110.76|50|255
NOTE:10|15|110.76|48|255
NOTE:12|14|110.76|48|255
NOTE:8|20|110.88|50|255
NOTE:10|16|110.88|48|255
NOTE:4|0|111|55|255
NOTE:6|9|111|48|255
NOTE:9|19|111|50|255
NOTE:10|15|111|48|255
NOTE:12|14|111|48|255
NOTE:3|11|111.12|86|255
NOTE:8|20|111.12|50|255
NOTE:9|19|111.12|50|255
NOTE:10|15|111.12|48|255
NOTE:4|0|111.24|55|255
NOTE:8|13|111.24|39|255
NOTE:9|19|111.24|50|255
NOTE:10|15|111.24|48|255
NOTE:9|19|111.36|50|255
NOTE:4|0|111.48|55|255
NOTE:6|4|111.48|50|255
NOTE:6|9|111.48|48|255
NOTE:8|9|111.48|50|255
NOTE:9|19|111.48|50|255
NOTE:9|19|111.6|50|255
NOTE:4|0|111.72|55|255
NOTE:9|19|111.72|50|255
NOTE:9|19|111.84|50|255
NOTE:4|0|111.96|55|255
NOTE:8|8|111.96|46|255
NOTE:9|19|111.96|50|255
NOTE:9|19|112.08|50|255
NOTE:4|0|112.2|55|255
NOTE:9|19|112.2|50|255
NOTE:10|13|112.2|41|255
NOTE:9|19|112.32|50|255
NOTE:0|1|112.44|67|255
NOTE:1|12|112.44|62|255
NOTE:1|12|112.44|65|255
NOTE:4|0|112.44|55|255
NOTE:6|9|112.44|48|255
NOTE:6|6|112.44|48|255
NOTE:9|19|112.44|50|255
NOTE:10|15|112.44|48|255
NOTE:12|14|112.44|48|255
NOTE:9|19|112.56|50|255
NOTE:10|16|112.56|48|255
NOTE:4|0|112.68|55|255
NOTE:9|19|112.68|50|255
NOTE:10|15|112.68|48|255
NOTE:6|9|112.8|48|255
NOTE:9|19|112.8|50|255
NOTE:10|16|112.8|48|255
NOTE:12|14|112.8|48|255
NOTE:4|0|112.92|55|255
NOTE:8|8|112.92|46|255
NOTE:9|19|112.92|50|255
NOTE:10|16|112.92|48|255
NOTE:9|19|112.98|50|255
NOTE:9|19|113.04|50|255
NOTE:10|15|113.04|48|255
NOTE:4|0|113.16|55|255
NOTE:9|19|113.16|50|255
NOTE:10|15|113.16|48|255
NOTE:9|19|113.28|50|255
NOTE:4|0|113.4|55|255
NOTE:6|9|113.4|48|255
NOTE:6|6|113.4|48|255
NOTE:8|9|113.4|50|255
NOTE:8|14|113.4|36|255
NOTE:9|19|113.4|50|255
NOTE:9|19|113.52|50|255
NOTE:4|0|113.64|55|255
NOTE:9|19|113.64|50|255
NOTE:9|19|113.76|50|255
NOTE:4|0|113.88|55|255
NOTE:8|8|113.88|46|255
NOTE:9|19|113.88|50|255
NOTE:9|19|114|50|255
NOTE:4|0|114.12|55|255
NOTE:9|19|114.12|50|255
NOTE:9|19|114.24|50|255
NOTE:0|1|114.36|62|255
NOTE:1|12|114.36|63|255
NOTE:1|12|114.36|67|255
NOTE:1|2|114.36|60|255
NOTE:2|10|114.36|65|255
NOTE:4|0|114.36|56|255
NOTE:6|9|114.36|48|255
NOTE:9|19|114.36|50|255
NOTE:10|15|114.36|48|255
NOTE:12|14|114.36|48|255
NOTE:9|19|114.48|50|255
NOTE:10|15|114.48|48|255
NOTE:4|0|114.6|56|255
NOTE:9|19|114.6|50|255
NOTE:10|15|114.6|48|255
NOTE:6|9|114.72|48|255
NOTE:9|19|114.72|50|255
NOTE:10|15|114.72|48|255
NOTE:12|14|114.72|48|255
NOTE:4|0|114.84|56|255
NOTE:8|8|114.84|47|255
NOTE:9|19|114.84|50|255
NOTE:10|16|114.84|48|255
NOTE:9|19|114.9|50|255
NOTE:3|11|114.96|86|255
NOTE:9|19|114.96|50|255
NOTE:10|15|114.96|48|255
NOTE:4|0|115.08|56|255
NOTE:9|19|115.08|50|255
NOTE:10|15|115.08|48|255
NOTE:9|19|115.2|50|255
NOTE:4|0|115.32|56|255
NOTE:6|4|115.32|50|255
NOTE:6|9|115.32|48|255
NOTE:8|13|115.32|39|255
NOTE:9|19|115.32|50|255
NOTE:9|19|115.44|50|255
NOTE:4|0|115.56|56|255
NOTE:9|19|115.56|50|255
NOTE:9|19|115.68|50|255
NOTE:4|0|115.8|56|255
NOTE:8|8|115.8|47|255
NOTE:9|19|115.8|50|255
NOTE:9|19|115.92|50|255
NOTE:4|0|116.04|56|255
NOTE:9|19|116.04|50|255
NOTE:10|13|116.04|41|255
NOTE:9|19|116.16|50|255
NOTE:0|1|116.28|67|255
NOTE:1|12|116.28|63|255
NOTE:1|12|116.28|65|255
NOTE:2|10|116.28|63|255
NOTE:4|0|116.28|56|255
NOTE:6|9|116.28|48|255
NOTE:6|6|116.28|48|255
NOTE:9|19|116.28|50|255
NOTE:10|15|116.28|48|255
NOTE:12|14|116.28|48|255
NOTE:9|19|116.4|50|255
NOTE:10|15|116.4|48|255
NOTE:4|0|116.52|56|255
NOTE:9|19|116.52|50|255
NOTE:10|15|116.52|48|255
NOTE:6|9|116.64|48|255
NOTE:9|19|116.64|50|255
NOTE:10|15|116.64|48|255
NOTE:12|14|116.64|48|255
NOTE:4|0|116.76|56|255
NOTE:8|8|116.76|47|255
NOTE:9|19|116.76|50|255
NOTE:10|16|116.76|48|255
NOTE:9|19|116.82|50|255
NOTE:9|19|116.88|50|255
NOTE:10|15|116.88|48|255
NOTE:4|0|117|56|255
NOTE:9|19|117|50|255
NOTE:10|15|117|48|255
NOTE:9|19|117.12|50|255
NOTE:4|0|117.24|56|255
NOTE:6|9|117.24|48|255
NOTE:6|6|117.24|48|255
NOTE:8|14|117.24|36|255
NOTE:9|19|117.24|50|255
NOTE:9|19|117.36|50|255
NOTE:4|0|117.48|56|255
NOTE:9|19|117.48|50|255
NOTE:9|19|117.6|50|255
NOTE:4|0|117.72|56|255
NOTE:8|8|117.72|47|255
NOTE:9|19|117.72|50|255
NOTE:9|19|117.84|50|255
NOTE:4|0|117.96|56|255
NOTE:9|19|117.96|50|255
NOTE:9|19|118.08|50|255
NOTE:0|1|118.2|62|255
NOTE:1|12|118.2|62|255
NOTE:1|12|118.2|63|255
NOTE:1|2|118.2|60|255
NOTE:2|10|118.2|62|255
NOTE:4|0|118.2|55|255
NOTE:6|9|118.2|48|255
NOTE:9|19|118.2|50|255
NOTE:10|15|118.2|48|255
NOTE:12|14|118.2|48|255
NOTE:9|19|118.32|50|255
NOTE:10|15|118.32|48|255
NOTE:4|0|118.44|55|255
NOTE:9|19|118.44|50|255
NOTE:10|15|118.44|48|255
NOTE:6|9|118.56|48|255
NOTE:9|19|118.56|50|255
NOTE:10|15|118.56|48|255
NOTE:12|14|118.56|48|255
NOTE:4|0|118.68|55|255
NOTE:8|8|118.68|46|255
NOTE:9|19|118.68|50|255
NOTE:10|16|118.68|48|255
NOTE:9|19|118.74|50|255
NOTE:3|11|118.8|82|255
NOTE:9|19|118.8|50|255
NOTE:10|15|118.8|48|255
NOTE:4|0|118.92|55|255
NOTE:9|19|118.92|50|255
NOTE:10|15|118.92|48|255
NOTE:9|19|119.04|50|255
NOTE:4|0|119.16|55|255
NOTE:6|4|119.16|50|255
NOTE:6|9|119.16|48|255
NOTE:9|19|119.16|50|255
NOTE:9|19|119.28|50|255
NOTE:4|0|119.4|55|255
NOTE:9|19|119.4|50|255
NOTE:9|19|119.52|50|255
NOTE:4|0|119.64|55|255
NOTE:8|8|119.64|46|255
NOTE:9|19|119.64|50|255
NOTE:9|19|119.76|50|255
NOTE:4|0|119.88|55|255
NOTE:9|19|119.88|50|255
NOTE:10|13|119.88|41|255
NOTE:9|19|120|50|255
NOTE:0|1|120.12|67|255
NOTE:1|12|120.12|62|255
